LastUpdated,PM10
2018-09-11 06:45:00,19.139
2018-09-11 06:30:00,20.319
2018-09-11 06:15:00,20.286
2018-09-11 06:00:00,20.626
2018-09-11 05:45:00,21.486
2018-09-11 05:30:00,22.146
2018-09-11 05:15:00,17.186
2018-09-11 05:00:00,16.033
2018-09-11 04:45:00,14.739
2018-09-11 04:30:00,15.646
2018-09-11 04:15:00,17.099
2018-09-11 04:00:00,11.253
2018-09-11 03:45:00,11.419
2018-09-11 03:30:00,9.133
2018-09-11 03:15:00,9.779
2018-09-11 03:00:00,7.013
2018-09-11 02:45:00,7.473
2018-09-11 02:30:00,7.593
2018-09-11 02:15:00,6.306
2018-09-11 02:00:00,7.773
2018-09-11 01:45:00,7.573
2018-09-11 01:30:00,8.373
2018-09-11 01:15:00,8.019
2018-09-11 01:00:00,8.593
2018-09-11 00:45:00,8.026
2018-09-11 00:30:00,8.799
2018-09-11 00:15:00,10.059
2018-09-10 22:45:00,7.619
2018-09-10 22:30:00,8.553
2018-09-10 22:15:00,7.353
2018-09-10 22:00:00,6.879
2018-09-10 21:45:00,5.386
2018-09-10 21:30:00,5.786
2018-09-10 21:15:00,3.573
2018-09-10 21:00:00,4.753
2018-09-10 20:45:00,6.033
2018-09-10 20:30:00,7.506
2018-09-10 20:15:00,8.559
2018-09-10 20:00:00,8.846
2018-09-10 19:45:00,8.133
2018-09-10 19:30:00,5.253
2018-09-10 19:15:00,5.659
2018-09-10 19:00:00,4.339
2018-09-10 18:45:00,0.773
2018-09-10 18:30:00,-1.046
2018-09-10 18:15:00,2.719
2018-09-10 18:00:00,4.433
2018-09-10 17:45:00,5.919
2018-09-10 17:30:00,10.739
2018-09-10 17:15:00,9.466
2018-09-10 17:00:00,10.399
2018-09-10 16:45:00,2.606
2018-09-10 16:30:00,12.933
2018-09-10 16:15:00,5.319
2018-09-10 16:00:00,-9.119
2018-09-10 15:45:00,0.153
2018-09-10 15:30:00,1.973
2018-09-10 15:15:00,5.819
2018-09-10 15:00:00,3.853
2018-09-10 14:45:00,-0.426
2018-09-10 14:30:00,7.066
2018-09-10 14:15:00,7.613
