SystemCodeNumber,LastUpdated,PM10
linkoping,2018-09-22 16:45:00,8.106000
linkoping,2018-09-22 16:30:00,8.939000
linkoping,2018-09-22 16:15:00,9.939000
linkoping,2018-09-22 16:00:00,6.906000
linkoping,2018-09-22 15:45:00,9.686000
linkoping,2018-09-22 15:30:00,12.199000
linkoping,2018-09-22 15:15:00,14.986000
linkoping,2018-09-22 15:00:00,14.266000
linkoping,2018-09-22 14:45:00,17.913000
linkoping,2018-09-22 14:30:00,15.899000
linkoping,2018-09-22 14:15:00,38.853000
linkoping,2018-09-22 14:00:00,-11.519000
linkoping,2018-09-22 13:45:00,20.466000
linkoping,2018-09-22 13:30:00,15.859000
linkoping,2018-09-22 13:15:00,18.026000
linkoping,2018-09-22 13:00:00,18.293000
linkoping,2018-09-22 12:45:00,17.159000
linkoping,2018-09-22 12:30:00,17.179000
linkoping,2018-09-22 12:15:00,19.379000
linkoping,2018-09-22 12:00:00,20.013000
linkoping,2018-09-22 11:45:00,27.113000
linkoping,2018-09-22 11:30:00,28.719000
linkoping,2018-09-22 11:15:00,26.246000
linkoping,2018-09-22 11:00:00,30.866000
linkoping,2018-09-22 10:45:00,33.993000
linkoping,2018-09-22 10:30:00,37.406000
linkoping,2018-09-22 10:15:00,27.639000
linkoping,2018-09-22 10:00:00,24.026000
linkoping,2018-09-22 09:45:00,22.766000
linkoping,2018-09-22 09:30:00,28.893000
linkoping,2018-09-22 09:15:00,22.299000
linkoping,2018-09-22 09:00:00,25.286000
linkoping,2018-09-22 08:45:00,29.019000
linkoping,2018-09-22 08:30:00,27.639000
linkoping,2018-09-22 08:15:00,29.459000
linkoping,2018-09-22 08:00:00,30.813000
linkoping,2018-09-22 07:45:00,24.413000
linkoping,2018-09-22 07:30:00,22.613000
linkoping,2018-09-22 07:15:00,17.399000
linkoping,2018-09-22 07:00:00,21.159000
linkoping,2018-09-22 06:45:00,21.726000
linkoping,2018-09-22 06:30:00,21.353000
linkoping,2018-09-22 06:15:00,24.279000
linkoping,2018-09-22 06:00:00,26.553000
linkoping,2018-09-22 05:45:00,28.279000
linkoping,2018-09-22 05:30:00,18.959000
linkoping,2018-09-22 05:15:00,20.086000
linkoping,2018-09-22 05:00:00,20.359000
linkoping,2018-09-22 04:45:00,16.566000
linkoping,2018-09-22 04:30:00,13.626000
linkoping,2018-09-22 04:15:00,14.862000
linkoping,2018-09-22 04:00:00,12.059000
linkoping,2018-09-22 03:45:00,11.839000
linkoping,2018-09-22 03:30:00,11.966000
linkoping,2018-09-22 03:15:00,10.313000
linkoping,2018-09-22 03:00:00,8.779000
linkoping,2018-09-22 02:45:00,8.699000
linkoping,2018-09-22 02:30:00,12.279000
linkoping,2018-09-22 02:15:00,7.953000
linkoping,2018-09-22 02:00:00,9.179000
linkoping,2018-09-22 01:45:00,7.799000
linkoping,2018-09-22 01:30:00,6.999000
linkoping,2018-09-22 01:15:00,6.646000
linkoping,2018-09-22 01:00:00,3.666000
linkoping,2018-09-22 00:45:00,6.379000
linkoping,2018-09-22 00:30:00,6.759000
linkoping,2018-09-22 00:15:00,6.786000
linkoping,2018-09-21 22:45:00,10.686000
linkoping,2018-09-21 22:30:00,12.773000
linkoping,2018-09-21 22:15:00,10.979000
linkoping,2018-09-21 22:00:00,11.733000
linkoping,2018-09-21 21:45:00,10.646000
linkoping,2018-09-21 21:30:00,10.939000
linkoping,2018-09-21 21:15:00,11.379000
linkoping,2018-09-21 21:00:00,11.066000
linkoping,2018-09-21 20:45:00,8.913000
linkoping,2018-09-21 20:30:00,8.566000
linkoping,2018-09-21 20:15:00,8.339000
linkoping,2018-09-21 20:00:00,10.233000
linkoping,2018-09-21 19:45:00,11.813000
linkoping,2018-09-21 19:30:00,12.786000
linkoping,2018-09-21 19:15:00,8.353000
linkoping,2018-09-21 19:00:00,8.106000
linkoping,2018-09-21 18:45:00,7.379000
linkoping,2018-09-21 18:30:00,7.766000
linkoping,2018-09-21 18:15:00,9.813000
linkoping,2018-09-21 18:00:00,9.313000
linkoping,2018-09-21 17:45:00,11.186000
linkoping,2018-09-21 17:30:00,2.773000
linkoping,2018-09-21 17:15:00,10.393000
linkoping,2018-09-21 17:00:00,4.153000
linkoping,2018-09-21 16:45:00,-3.966000
linkoping,2018-09-21 16:30:00,9.199000
linkoping,2018-09-21 16:15:00,7.733000
linkoping,2018-09-21 16:00:00,10.293000
linkoping,2018-09-21 15:45:00,10.166000
linkoping,2018-09-21 15:30:00,17.479000
linkoping,2018-09-21 15:15:00,71.793000
linkoping,2018-09-21 15:00:00,55.339000
linkoping,2018-09-21 14:45:00,34.033000
linkoping,2018-09-21 14:30:00,40.379000
linkoping,2018-09-21 14:15:00,38.699000
linkoping,2018-09-21 14:00:00,37.186000
linkoping,2018-09-21 13:45:00,38.526000
linkoping,2018-09-21 13:30:00,36.699000
linkoping,2018-09-21 13:15:00,44.159000
linkoping,2018-09-21 13:00:00,39.506000
linkoping,2018-09-21 12:45:00,43.646000
linkoping,2018-09-21 12:30:00,40.939000
linkoping,2018-09-21 12:15:00,30.753000
linkoping,2018-09-21 12:00:00,27.693000
linkoping,2018-09-21 11:45:00,28.306000
linkoping,2018-09-21 11:30:00,29.613000
linkoping,2018-09-21 11:15:00,28.373000
linkoping,2018-09-21 11:00:00,28.693000
linkoping,2018-09-21 10:45:00,25.426000
linkoping,2018-09-21 10:30:00,24.846000
linkoping,2018-09-21 10:15:00,24.779000
linkoping,2018-09-21 10:00:00,24.993000
linkoping,2018-09-21 09:45:00,26.633000
linkoping,2018-09-21 09:30:00,26.006000
linkoping,2018-09-21 09:15:00,24.139000
linkoping,2018-09-21 09:00:00,27.693000
linkoping,2018-09-21 08:45:00,27.079000
linkoping,2018-09-21 08:30:00,29.126000
linkoping,2018-09-21 08:15:00,27.879000
linkoping,2018-09-21 08:00:00,25.533000
linkoping,2018-09-21 07:45:00,23.639000
linkoping,2018-09-21 07:30:00,25.353000
linkoping,2018-09-21 07:15:00,32.499000
linkoping,2018-09-21 07:00:00,32.859000
linkoping,2018-09-21 06:45:00,36.819000
linkoping,2018-09-21 06:30:00,36.886000
linkoping,2018-09-21 06:15:00,38.466000
linkoping,2018-09-21 06:00:00,41.373000
linkoping,2018-09-21 05:45:00,33.739000
linkoping,2018-09-21 05:30:00,32.199000
linkoping,2018-09-21 05:15:00,32.859000
linkoping,2018-09-21 05:00:00,29.239000
linkoping,2018-09-21 04:45:00,23.633000
linkoping,2018-09-21 04:30:00,21.113000
linkoping,2018-09-21 04:15:00,17.881000
linkoping,2018-09-21 04:00:00,20.406000
linkoping,2018-09-21 03:45:00,16.353000
linkoping,2018-09-21 03:30:00,15.706000
linkoping,2018-09-21 03:15:00,11.893000
linkoping,2018-09-21 03:00:00,9.026000
linkoping,2018-09-21 02:45:00,9.299000
linkoping,2018-09-21 02:30:00,6.979000
linkoping,2018-09-21 02:15:00,6.173000
linkoping,2018-09-21 02:00:00,4.886000
linkoping,2018-09-21 01:45:00,4.486000
linkoping,2018-09-21 01:30:00,4.466000
linkoping,2018-09-21 01:15:00,1.813000
linkoping,2018-09-21 01:00:00,1.913000
linkoping,2018-09-21 00:45:00,4.399000
linkoping,2018-09-21 00:30:00,2.859000
linkoping,2018-09-21 00:15:00,3.259000
linkoping,2018-09-20 22:45:00,43.313000
linkoping,2018-09-20 22:30:00,46.839000
linkoping,2018-09-20 22:15:00,21.826000
linkoping,2018-09-20 22:00:00,8.953000
linkoping,2018-09-20 21:45:00,7.659000
linkoping,2018-09-20 21:30:00,9.459000
linkoping,2018-09-20 21:15:00,7.766000
linkoping,2018-09-20 21:00:00,7.926000
linkoping,2018-09-20 20:45:00,9.813000
linkoping,2018-09-20 20:30:00,9.666000
linkoping,2018-09-20 20:15:00,11.286000
linkoping,2018-09-20 20:00:00,12.093000
linkoping,2018-09-20 19:45:00,12.026000
linkoping,2018-09-20 19:30:00,11.339000
linkoping,2018-09-20 19:15:00,11.579000
linkoping,2018-09-20 19:00:00,12.546000
linkoping,2018-09-20 18:45:00,12.906000
linkoping,2018-09-20 18:30:00,15.833000
linkoping,2018-09-20 18:15:00,14.173000
linkoping,2018-09-20 18:00:00,11.153000
linkoping,2018-09-20 17:45:00,12.133000
linkoping,2018-09-20 17:30:00,12.019000
linkoping,2018-09-20 17:15:00,16.059000
linkoping,2018-09-20 17:00:00,18.306000
linkoping,2018-09-20 16:45:00,19.899000
linkoping,2018-09-20 16:30:00,21.426000
linkoping,2018-09-20 16:15:00,19.246000
linkoping,2018-09-20 16:00:00,20.119000
linkoping,2018-09-20 15:45:00,22.666000
linkoping,2018-09-20 15:30:00,18.266000
linkoping,2018-09-20 15:15:00,18.499000
linkoping,2018-09-20 15:00:00,19.259000
linkoping,2018-09-20 14:45:00,19.459000
linkoping,2018-09-20 14:30:00,18.833000
linkoping,2018-09-20 14:15:00,20.233000
linkoping,2018-09-20 14:00:00,20.573000
linkoping,2018-09-20 13:45:00,26.053000
linkoping,2018-09-20 13:30:00,23.373000
linkoping,2018-09-20 13:15:00,21.479000
linkoping,2018-09-20 13:00:00,23.946000
linkoping,2018-09-20 12:45:00,23.219000
linkoping,2018-09-20 12:30:00,25.333000
linkoping,2018-09-20 12:15:00,20.446000
linkoping,2018-09-20 12:00:00,20.819000
linkoping,2018-09-20 11:45:00,21.219000
linkoping,2018-09-20 11:30:00,19.339000
linkoping,2018-09-20 11:15:00,20.613000
linkoping,2018-09-20 11:00:00,21.786000
linkoping,2018-09-20 10:45:00,24.953000
linkoping,2018-09-20 10:30:00,29.539000
linkoping,2018-09-20 10:15:00,21.466000
linkoping,2018-09-20 10:00:00,24.053000
linkoping,2018-09-20 09:45:00,26.713000
linkoping,2018-09-20 09:30:00,21.253000
linkoping,2018-09-20 09:15:00,22.333000
linkoping,2018-09-20 09:00:00,26.719000
linkoping,2018-09-20 08:45:00,25.346000
linkoping,2018-09-20 08:30:00,26.979000
linkoping,2018-09-20 08:15:00,28.253000
linkoping,2018-09-20 08:00:00,30.013000
linkoping,2018-09-20 07:45:00,28.293000
linkoping,2018-09-20 07:30:00,24.393000
linkoping,2018-09-20 07:15:00,22.939000
linkoping,2018-09-20 07:00:00,23.586000
linkoping,2018-09-20 06:45:00,25.099000
linkoping,2018-09-20 06:30:00,26.099000
linkoping,2018-09-20 06:15:00,24.933000
linkoping,2018-09-20 06:00:00,19.646000
linkoping,2018-09-20 05:45:00,18.839000
linkoping,2018-09-20 05:30:00,16.339000
linkoping,2018-09-20 05:15:00,14.379000
linkoping,2018-09-20 05:00:00,8.326000
linkoping,2018-09-20 04:45:00,7.066000
linkoping,2018-09-20 04:30:00,0.606000
linkoping,2018-09-20 04:15:00,6.362000
linkoping,2018-09-20 04:00:00,2.106000
linkoping,2018-09-20 03:45:00,18.359000
linkoping,2018-09-20 03:30:00,25.139000
linkoping,2018-09-20 03:15:00,19.786000
linkoping,2018-09-20 03:00:00,18.219000
linkoping,2018-09-20 02:45:00,17.393000
linkoping,2018-09-20 02:30:00,16.046000
linkoping,2018-09-20 02:15:00,16.439000
linkoping,2018-09-20 02:00:00,15.606000
linkoping,2018-09-20 01:45:00,17.299000
linkoping,2018-09-20 01:30:00,14.513000
linkoping,2018-09-20 01:15:00,11.713000
linkoping,2018-09-20 01:00:00,14.759000
linkoping,2018-09-20 00:45:00,12.386000
linkoping,2018-09-20 00:30:00,11.853000
linkoping,2018-09-20 00:15:00,13.459000
linkoping,2018-09-19 22:45:00,16.239000
linkoping,2018-09-19 22:30:00,17.499000
linkoping,2018-09-19 22:15:00,17.326000
linkoping,2018-09-19 22:00:00,16.806000
linkoping,2018-09-19 21:45:00,15.873000
linkoping,2018-09-19 21:30:00,15.066000
linkoping,2018-09-19 21:15:00,14.646000
linkoping,2018-09-19 21:00:00,14.979000
linkoping,2018-09-19 20:45:00,14.093000
linkoping,2018-09-19 20:30:00,13.819000
linkoping,2018-09-19 20:15:00,14.119000
linkoping,2018-09-19 20:00:00,13.546000
linkoping,2018-09-19 19:45:00,14.579000
linkoping,2018-09-19 19:30:00,15.946000
linkoping,2018-09-19 19:15:00,16.173000
linkoping,2018-09-19 19:00:00,17.679000
linkoping,2018-09-19 18:45:00,17.553000
linkoping,2018-09-19 18:30:00,19.306000
linkoping,2018-09-19 18:15:00,20.939000
linkoping,2018-09-19 18:00:00,20.053000
linkoping,2018-09-19 17:45:00,17.953000
linkoping,2018-09-19 17:30:00,20.839000
linkoping,2018-09-19 17:15:00,21.053000
linkoping,2018-09-19 17:00:00,19.059000
linkoping,2018-09-19 16:45:00,20.233000
linkoping,2018-09-19 16:30:00,21.319000
linkoping,2018-09-19 16:15:00,18.039000
linkoping,2018-09-19 16:00:00,22.346000
linkoping,2018-09-19 15:45:00,21.173000
linkoping,2018-09-19 15:30:00,18.299000
linkoping,2018-09-19 15:15:00,18.613000
linkoping,2018-09-19 15:00:00,21.886000
linkoping,2018-09-19 14:45:00,21.739000
linkoping,2018-09-19 14:30:00,21.459000
linkoping,2018-09-19 14:15:00,21.673000
linkoping,2018-09-19 14:00:00,22.339000
linkoping,2018-09-19 13:45:00,20.813000
linkoping,2018-09-19 13:30:00,20.453000
linkoping,2018-09-19 13:15:00,21.973000
linkoping,2018-09-19 13:00:00,23.959000
linkoping,2018-09-19 12:45:00,22.926000
linkoping,2018-09-19 12:30:00,27.353000
linkoping,2018-09-19 12:15:00,29.186000
linkoping,2018-09-19 12:00:00,28.693000
linkoping,2018-09-19 11:45:00,27.119000
linkoping,2018-09-19 11:30:00,29.733000
linkoping,2018-09-19 11:15:00,23.639000
linkoping,2018-09-19 11:00:00,22.566000
linkoping,2018-09-19 10:45:00,23.919000
linkoping,2018-09-19 10:30:00,22.419000
linkoping,2018-09-19 10:15:00,24.639000
linkoping,2018-09-19 10:00:00,31.199000
linkoping,2018-09-19 09:45:00,46.986000
linkoping,2018-09-19 09:30:00,22.399000
linkoping,2018-09-19 09:15:00,22.013000
linkoping,2018-09-19 09:00:00,20.913000
linkoping,2018-09-19 08:45:00,22.159000
linkoping,2018-09-19 08:30:00,39.833000
linkoping,2018-09-19 08:15:00,19.273000
linkoping,2018-09-19 08:00:00,19.426000
linkoping,2018-09-19 07:45:00,16.206000
linkoping,2018-09-19 07:30:00,14.399000
linkoping,2018-09-19 07:15:00,16.179000
linkoping,2018-09-19 07:00:00,22.039000
linkoping,2018-09-19 06:45:00,23.839000
linkoping,2018-09-19 06:30:00,22.586000
linkoping,2018-09-19 06:15:00,24.406000
linkoping,2018-09-19 06:00:00,25.026000
linkoping,2018-09-19 05:45:00,21.493000
linkoping,2018-09-19 05:30:00,20.679000
linkoping,2018-09-19 05:15:00,21.846000
linkoping,2018-09-19 05:00:00,19.073000
linkoping,2018-09-19 04:45:00,16.926000
linkoping,2018-09-19 04:30:00,15.919000
linkoping,2018-09-19 04:15:00,16.212000
linkoping,2018-09-19 04:00:00,15.486000
linkoping,2018-09-19 03:45:00,15.053000
linkoping,2018-09-19 03:30:00,13.573000
linkoping,2018-09-19 03:15:00,14.239000
linkoping,2018-09-19 03:00:00,13.926000
linkoping,2018-09-19 02:45:00,13.539000
linkoping,2018-09-19 02:30:00,12.693000
linkoping,2018-09-19 02:15:00,13.606000
